timer,hart,actual data,actual data diff,,
494.9235949,516,-4939,-493.9,,
495.7783852,516,-4457,-445.7,,
496.6331755,519,-4366,-436.6,,
497.4879659,520,-3789,-378.9,,
498.3427562,520,-4024,-402.4,,
499.1975465,523,-3779,-377.9,,
500.0523368,524,-4121,-412.1,,
500.9071271,524,-3898,-389.8,,
501.7619175,524,-3867,-386.7,,
502.6167078,524,-4302,-430.2,,
503.4714981,524,-3760,-376,,
504.3262884,523,-4273,-427.3,,
505.1810787,522,-4296,-429.6,,
506.0358691,521,-3407,-340.7,,
506.8906594,521,-3674,-367.4,,
507.7454497,518,-4057,-405.7,,
508.60024,517,-3784,-378.4,,
509.4550303,518,-3743,-374.3,,
510.3098207,516,-4263,-426.3,,
511.164611,516,-3926,-392.6,,
512.0194013,515,-3316,-331.6,,
512.8741916,515,-3456,-345.6,,
513.7289819,514,-3098,-309.8,,
514.5837723,512,-3188,-318.8,,
515.4385626,512,-4069,-406.9,,
516.2933529,510,-4078,-407.8,,
517.1481432,510,-4001,-400.1,,
518.0029335,510,-4275,-427.5,,
518.8577238,510,-4296,-429.6,,
519.7125142,510,-4297,-429.7,,
520.5673045,510,-4597,-459.7,,
521.4220948,509,-4332,-433.2,,
522.2768851,510,-3387,-338.7,,
523.1316754,511,-2965,-296.5,,
523.9864658,511,-2923,-292.3,,
524.8412561,511,-2959,-295.9,,
525.6960464,511,-3582,-358.2,,
526.5508367,513,-4446,-444.6,,
527.405627,512,-4370,-437,,
528.2604174,513,-3943,-394.3,,
529.1152077,515,-4043,-404.3,,
529.969998,514,-3686,-368.6,,
530.8247883,513,-3907,-390.7,,
531.6795786,512,-3892,-389.2,,
532.534369,514,-2276,-227.6,,
533.3891593,513,-2300,-230,,
534.2439496,513,-2658,-265.8,,
535.0987399,513,-2147,-214.7,,
535.9535302,516,-3876,-387.6,,
536.8083206,515,-4939,-493.9,,
537.6631109,515,-4457,-445.7,,
538.5179012,516,-4335,-433.5,,
539.3726915,516,-3495,-349.5,,
540.2274818,515,-2887,-288.7,,
541.0822722,516,-3269,-326.9,,
541.9370625,516,-3527,-352.7,,
