timer,hart
1133,-2124
1134,-1443
1135,-1729
1136,-2998
1137,-3149
1138,-2999
1139,-2975
1140,-3415
1141,-2146
1142,-2294
1143,-2873
1144,-988
1145,-1841
1146,-1808
1147,-1429
1148,-3018
1149,-2503
1150,-3278
1151,-2477
1152,-1591
1153,-2677
1154,-1865
1155,-2941
1156,-2818
1157,-1990
1158,-2094
1159,-1320
1160,-2014
1161,-2356
1162,-2910
1163,-3037
1164,-2380
1165,-2667
1166,-2332
1167,-2301
1168,-2703
1169,-3035
1170,-4148
1171,-4194
1172,-4471
1173,-6007
1174,-5853
1175,-4347
1176,-2921
1177,-2486
1178,-882
1179,-150
1180,-1290
1181,-199
1182,-211
1183,-1100
1184,-1121
1185,-1879
1186,-2480
1187,-2682
1188,-2377
1189,-2478
1190,-2637
1191,-1803
1192,-2620
1193,-1472
1194,542
1195,-1339
1196,-944
1197,-1767
1198,-4109
1199,-3121
1200,-3088
1201,-2314
1202,-2076
1203,-2588
1204,-2318
1205,-2868
1206,-2450
1207,-2197
1208,-2360
1209,-2854
1210,-3455
1211,-3150
1212,-2963
1213,-2878
1214,-2739
1215,-2930
1216,-3348
1217,-3037
1218,-2886
1219,-2705
1220,-2551
1221,-2318
1222,-2300
1223,-3260
1224,-2510
1225,-2291
1226,-3099
1227,-3070
1228,-3550
1229,-3955
1230,-2802
1231,-1686
1232,-2038
1233,-1653
1234,-2682
1235,-3872
1236,-3344
1237,-3955
1238,-3046
1239,-2946
1240,-2986
1241,-2554
1242,-3350
1243,-227
1244,52
1245,-1499
1246,130
1247,-2298
1248,-3408
1249,-1786
1250,-1740
1251,-910
1252,-649
1253,-1430
1254,-870
1255,-298
1256,-1270
1257,-778
1258,-563
1259,-2149
1260,-2192
1261,-1540
1262,-1087
1263,-1117
1264,-1783
1265,-1384
1266,-2215
1267,-2086
1268,-867
1269,-2519
1270,-2564
1271,-2639
1272,-4161
1273,-3118
1274,-3349
1275,-6138
1276,-8551
1277,-9989
1278,-11768
1279,-11062
1280,-8152
1281,-7838
1282,-7889
1283,-9082
1284,-11068
1285,-10870
1286,-10866
1287,-9770
1288,-8406
1289,-8435
1290,-8605
1291,-8398
1292,-6869
1293,-7081
1294,-8008
1295,-7148
1296,-7616
1297,-8388
1298,-7833
1299,-7023
1300,-7346
1301,-7849
1302,-6879
1303,-7153
1304,-6722
1305,-5285
1306,-6130
1307,-6275
1308,-5954
1309,-6811
1310,-6345
1311,-4792
1312,-4703
1313,-5604
1314,-5044
1315,-6659
1316,-7192
1317,-4589
1318,-5636
1319,-4934
1320,-4258
1321,-6086
1322,-5677
1323,-6490
1324,-5534
1325,-5172
1326,-6226
1327,-4887
1328,-5416
1329,-4278
1330,-3458
1331,-3967
1332,-2453
1333,-4218
1334,-5199
1335,-4337
1336,-4532
1337,-3890
1338,-3961
1339,-3372
1340,-3832
1341,-3488
1342,-2435
1343,-3542
1344,-2712
1345,-3000
1346,-4311
1347,-4252
1348,-3912
1349,-3673
1350,-4546
1351,-3050
1352,-3401
1353,-4703
1354,-1881
1355,-2597
1356,-3261
1357,-2014
1358,-3850
1359,-3943
1360,-3829
1361,-3854
1362,-3092
1363,-4196
1364,-4521
1365,-4532
1366,-4966
1367,-4426
1368,-7209
1369,-13600
1370,-17897
1371,-20577
1372,-23127
1373,-21165
1374,-17409
1375,-17946
1376,-17418
1377,-16560
1378,-16324
1379,-14807
