x,hart
1327,2132
1328,2139
1329,2134
1330,2134
1331,2128
1332,2130
1333,2130
1334,2125
1335,2121
1336,2121
1337,2113
1338,2114
1339,2114
1340,2114
1341,2095
1342,2095
1343,2095
1344,2095
1345,2079
1346,2062
1347,2062
1348,2062
1349,2056
1350,2056
1351,2031
1352,2024
1353,2024
1354,2006
1355,1985
1356,1985
1357,1982
1358,1962
1359,1962
1360,1947
1361,1947
1362,1931
1363,1918
1364,1918
1365,1913
1366,1906
1367,1906
1368,1892
1369,1889
1370,1889
1371,1883
1372,1885
1373,1885
1374,1885
1375,1886
1376,1886
1377,1877
1378,1877
1379,1882
1380,1887
1381,1887
1382,1889
1383,1893
1384,1893
1385,1888
1386,1901
1387,1901
1388,1918
1389,1910
1390,1910
1391,1908
1392,1924
1393,1924
1394,1937
1395,1937
1396,1937
1397,1922
1398,1939
1399,1939
1400,1954
1401,1954
1402,1952
1403,1959
1404,1959
1405,1960
1406,1959
1407,1959
1408,1958
1409,1968
1410,1968
1411,1976
1412,1969
1413,1969
1414,1977
1415,1987
1416,1987
1417,1983
1418,1983
1419,1987
1420,1978
1421,1978
1422,1996
1423,1987
1424,1987
1425,1991
1426,1989
1427,1989
1428,1994
1429,2004
1430,2004
1431,1991
1432,1987
1433,1987
1434,2015
1435,2000
1436,2000
1437,1999
1438,1999
1439,1990
1440,1991
1441,1991
1442,1989
1443,1994
1444,1994
1445,1987
1446,1988
1447,1988
1448,1997
1449,1976
1450,1976
1451,1987
1452,1996
1453,1996
1454,1991
1455,1991
1456,1986
1457,1980
1458,1980
1459,1967
1460,1974
1461,1974
1462,1983
1463,1976
1464,1976
1465,1983
1466,1982
1467,1982
1468,1969
1469,1984
1470,1984
1471,1994
1472,1986
1473,1986
1474,1983
1475,1983
1476,1984
1477,1990
1478,1990
1479,1991
1480,1983
1481,1983
1482,1980
1483,1984
1484,1984
1485,1974
1486,1982
1487,1982
1488,1990
1489,1988
1490,1988
1491,1995
